site,id,c14_age,c14_error
Chac II,Beta-98322,1250,60
Chac II,Beta-122987,1230,50
Chac II,Beta-134760,1220,40
Chac II,Beta-98318,1190,100
Chac II,Beta-134762,1190,40
Chac II,Beta-134759,1160,40
Chac II,Beta-91914,1120,60
Chac II,Beta-91913,1100,60
Chac II,Beta-148716,880,140
Chac II,Beta-148721,820,40
Chichen Itza,UCLA-1706,1135,60
Huntichmul,Ham 2728,1280,50
Kabah,INAH-1026,1060,35
Mayapan,GRO-452,700,95
Mayapan,GRO-1166,400,55
Sayil,IVIC-484,1230,60
Sayil,Wis-144,1100,70
Uxmal,Erl-1316,1565,65
Uxmal,Erl-1323,1403,34
Uxmal,Y-627,1390,50
Uxmal,GrN-485,1210,60
Uxmal,IVIC-485,1210,60
Uxmal,Erl-1319,1175,34
Uxmal,GrN-613,1065,120
Uxmal,GRO-613,1065,100
Xcoch,NOSAMS 84310,2590,30
Xcoch,NOSAMS 78760,2570,25
Xcoch,NOSAMS 78758,2560,25
Xcoch,NOSAMS 78757,2550,30
Xcoch,NOSAMS 78756,2520,30
Xcoch,NOSAMS 84309,2520,30
Xcoch,NOSAMS 78764,2490,30
Xcoch,NOSAMS 84304,2040,25
Xcoch,NOSAMS 84303,1750,45
Xcoch,NOSAMS 78754,1460,25
Xcoch,NOSAMS 78766,1420,30
Xcoch,NOSAMS 84307,1280,30
Xcoch,NOSAMS 84311,1250,25
Xcoch,NOSAMS 84313,645,25
Xcoch,NOSAMS 78765,625,25
Xcoch,NOSAMS 84314,525,30
Xcoch,NOSAMS 84315,385,30
Xkipché,Erl-1141,1667,48
Xkipché,Erl-1344,1538,97
Xkipché,Erl-1104,1423,46
Xkipché,Erl-1139,1387,71
Xkipché,Erl-1112,1289,42
Xkipché,Erl-1140,1268,46
Xkipché,Erl-1342,1232,32
Xkipché,Erl-1312,1224,50
Xkipché,Erl-1315,1200,38
Xkipché,Erl-1310,1186,52
Xkipché,Erl-1340,1172,34
Xkipché,Erl-1343,1135,43
Xkipché,Erl-1329,1106,46
Xkipché,OxA-7655,1105,40
Xkipché,Erl-1331,1036,47
Xkipché,Erl-1102,771,47
Xkipché,Erl-1095,435,38
Sta Rosa,GRN-1932,1990,65
Sta Rosa,GRN-1916,1845,50
El Tigre,P-1625,1670,49
Chabil Eke Ukal,AA35235,585,45
Chabil Ukal,AA35234,880,40
Ek Xux,AA40674,1445,41
Ek Xux,AA45743,1402,43
Ek Xux,AA40687,1363,36
Ek Xux,AA45749,1267,52
Ek Xux,AA45748,1246,40
Ek Xux,AA45747,1233,40
Ek Xux,AA45744,998,39
Ek Xux,AA45752,995,44
Ek Xux,AA44452,499,39
Kabil Sakunak,AA40673,1504,41
Kaq’ru’ Ha’,AA45750,2780,210
Kaq’ru’ Ha’,AA40672,1685,41
Kaq’ru’ Ha’,Beta-381577,1310,30
Kaq’ru’ Ha’,AA40692,1309,35
Kayuko Naj Tunich,UCIAMS-42799,1750,15
Kayuko Naj Tunich,UCIAMS-46295,1750,25
Kayuko Naj Tunich,UCIAMS-42803,1710,15
Kayuko Naj Tunich,UCIAMS-42801,1585,15
Kayuko Naj Tunich,UCIAMS-42804,1510,15
Kayuko Naj Tunich,UCIAMS-42800,1505,15
Kayuko Naj Tunich,UA X27781,1458,55
Kayuko Naj Tunich,UA X27782,1381,55
Kayuko Naj Tunich,Beta-381576,1340,30
Mayahak Kab Pek,UCIAMS-33402,1845,20
Mayahak Kab Pek,UCIAMS-42802,1785,15
Mohibal Kanchi,UCIAMS-46296,1855,25
Pohtzil Kab Pek,AA40678,1682,42
Port Honduras,AA40679,2149,40
Port Honduras,AA40689,1344,35
Port Honduras,AA40693,1276,35
Port Honduras,Beta-9095,1200,80
Port Honduras,Beta-69869,1180,50
Saki Tzul,Beta-9425,1510,60
Toqbil Roqikal,Beta-9094,1510,60
Uxbenka,UCIAMS-57042,1960,20
Uxbenka,UCIAMS-56360,1840,15
Uxbenka,UCIAMS-67955,1830,15
Uxbenka,UCIAMS-56358,1810,15
Uxbenka,UCIAMS-67960,1800,20
Uxbenka,UCIAMS-33400,1790,25
Uxbenka,UCIAMS-56359,1780,15
Uxbenka,UCIAMS-105422,1780,20
Uxbenka,UCIAMS-87895,1775,20
Uxbenka,UCIAMS-67238,1775,20
Uxbenka,UCIAMS-42824,1775,15
Uxbenka,UCIAMS-33404,1775,20
Uxbenka,UCIAMS-105386,1770,15
Uxbenka,UCIAMS-56362,1770,15
Uxbenka,UCIAMS-56369,1760,15
Uxbenka,UCIAMS-105418,1760,20
Uxbenka,UCIAMS-46297,1755,25
Uxbenka,UCIAMS-56361,1755,15
Uxbenka,UCIAMS-67961,1750,20
Uxbenka,UCIAMS-57044,1745,15
Uxbenka,UCIAMS-56371,1735,15
Uxbenka,UCIAMS-56370,1730,15
Uxbenka,UCIAMS-105423,1730,20
Uxbenka,UCIAMS-42806,1725,15
Uxbenka,UCIAMS-56365,1725,15
Uxbenka,UCIAMS-42808,1725,15
Uxbenka,UCIAMS-105384,1720,15
Uxbenka,UCIAMS-42807,1720,15
Uxbenka,UCIAMS-33403,1720,25
Uxbenka,UCIAMS-67959,1710,15
Uxbenka,UCIAMS-42805,1700,15
Uxbenka,UCIAMS-67239,1695,20
Uxbenka,DAMS-002429,1688,28
Uxbenka,DAMS-003019,1687,25
Uxbenka,UCIAMS-46299,1675,25
Uxbenka,UCIAMS-56367,1635,15
Uxbenka,UCIAMS-33401,1635,20
Uxbenka,UCIAMS-91204,1625,15
Uxbenka,UCIAMS-105388,1605,15
Uxbenka,UCIAMS-56368,1585,15
Uxbenka,UCIAMS-46298,1585,25
Uxbenka,UCIAMS-87168,1580,15
Uxbenka,UCIAMS-87167,1575,15
Uxbenka,UCIAMS-67958,1565,15
Uxbenka,Beta-9426,1540,60
Uxbenka,UCIAMS-105417,1525,20
Uxbenka,UCIAMS-57043,1485,15
Uxbenka,UCIAMS-105419,1485,20
Uxbenka,UCIAMS-67954,1465,15
Uxbenka,UCIAMS-67237,1440,20
Uxbenka,UCIAMS-87159,1380,15
Uxbenka,UCIAMS-42810,1365,15
Uxbenka,UCIAMS-67957,1345,15
Uxbenka,UCIAMS-105425,1320,20
Uxbenka,UCIAMS-56364,1315,15
Uxbenka,AA40696,1306,38
Uxbenka,DAMS-003026,1299,25
Uxbenka,UCIAMS-105379,1290,15
Uxbenka,UCIAMS-42811,1275,15
Uxbenka,UCIAMS-102521,1250,15
Uxbenka,UCIAMS-105396,1245,15
Uxbenka,UCIAMS-105413,1235,20
Uxbenka,UCIAMS-67965,1225,15
Uxbenka,UCIAMS-105380,1220,15
Uxbenka,UCIAMS-105416,1215,15
Uxbenka,UCIAMS-105395,1215,15
Uxbenka,UCIAMS-105394,1210,20
Uxbenka,UCIAMS-105420,1205,20
Uxbenka,AA40691,1127,35
Caracol,Beta-43519,2070,60
Caracol,Beta-42004,2020,60
Caracol,Beta-18060,1980,80
Caracol,RL-1425,1930,110
Caracol,Beta-18059,1920,140
Caracol,Beta-61209,1900,50
Caracol,Beta-18061,1870,90
Caracol,Beta-18055,1720,110
Caracol,RL-1424,1560,150
Caracol,Beta-18062,1340,60
Caracol,Beta-18054,1320,110
Caracol,Beta-18056,1310,50
Caracol,Beta-18063,1240,100
Caracol,Beta-18051,1220,70
Caracol,RL-1423,1160,110
Caracol,Beta-18065,1160,70
Caracol,Beta-18053,830,120
Las Cuevas,BM-37,920,150
Minanha,Beta-281082,2010,40
Minanha,Beta-281100,1990,40
Minanha,Beta-254852,1780,40
Minanha,Beta-254850,1770,50
Minanha,Beta-281104,1650,40
Minanha,Beta-299547,1600,30
Minanha,Beta-254846,1590,40
Minanha,Beta-281089,1570,40
Minanha,Beta-281096,1540,40
Minanha,Beta-254844,1530,40
Minanha,Beta-254847,1520,40
Minanha,Beta-281093,1490,40
Minanha,Beta-281094,1490,40
Minanha,Beta-281080,1460,40
Minanha,Beta-281095,1460,40
Minanha,Beta-299546,1410,30
Minanha,Beta-281085,1410,40
Minanha,Beta-281091,1270,40
Minanha,Beta-281086,1250,40
Minanha,Beta-254851,1200,40
Minanha,Beta-254849,1190,40
Minanha,Beta-281090,1170,40
Minanha,Beta-281084,1170,40
Minanha,Beta-281087,1160,40
Minanha,Beta-281105,1150,40
Minanha,Beta-254845,1090,40
Minanha,Beta-281103,1080,40
Minanha,Beta-254848,1050,40
Minanha,Beta-281102,1030,40
Minanha,Beta-281101,1010,40
Minanha,Beta-281099,1000,40
Minanha,Beta-241847,870,40
Rio Frio Cave,BM-67,1120,150
El Naranjal,UCR-3543B/ CAMS-35432,1740,50
T'isil,AA83658,1973,31
T'isil,AA75231,1931,45
T'isil,AA75230,1920,45
T'isil,AA75236,1732,44
T'isil,AA75224,1042,43
T'isil,AA75235,971,41
T'isil,AA75237,680,41
T'isil,AA83656,677,42
T'isil,AA75233,662,41
T'isil,AA75227,642,41
T'isil,AA75234,624,41
T'isil,AA75223,387,42
T'isil,AA75221,384,43
T'isil,AA83657,382,27
T'isil,AA75225,372,41
T'isil,AA75222,372,49
T'isil,AA75232,338,40
Aguada Fenix,TKA-20613,2772,23
Aguada Fenix,TKA-20614,2746,23
Aguada Fenix,TKA-20615,2750,23
Aguada Fenix,TKA-20616,2782,26
Aguada Fenix,TKA-20617,2751,24
Aguada Fenix,TKA-20618,2775,23
Aguada Fenix,TKA-20620,2701,26
Aguada Fenix,TKA-20621,2743,23
Aguada Fenix,TKA-20622,2832,23
Aguada Fenix,TKA-20623,2848,24
Aguada Fenix,TKA-20625,2848,23
Aguada Fenix,TKA-20632,2753,23
Aguada Fenix,TKA-20633,2785,23
Aguada Fenix,TKA-20634,2055,22
Aguada Fenix,TKA-20635,2835,25
Aguada Fenix,TKA-20636,2838,23
Aguada Fenix,TKA-20637,2845,23
Aguada Fenix,TKA-20668,2805,21
Aguada Fenix,TKA-20669,2834,20
Aguada Fenix,TKA-20673,2730,20
Aguada Fenix,TKA-20674,2718,20
Aguada Fenix,TKA-20676,2677,20
Aguada Fenix,TKA-20678,2689,21
Aguada Fenix,TKA-20680,2726,20
Aguada Fenix,TKA-21323,2742,19
Aguada Fenix,TKA-21324,2717,19
Aguada Fenix,TKA-21325,2742,20
Aguada Fenix,TKA-21326,2809,19
Aguada Fenix,TKA-21327,2847,19
Aguada Fenix,TKA-21328,2519,19
Aguada Fenix,TKA-21329,2678,19
Aguada Fenix,TKA-21331,2481,19
Aguada Fenix,TKA-21332,2508,20
Aguada Fenix,TKA-21333,2733,20
Aguada Fenix,TKA-21338,2718,19
Aguada Fenix,TKA-21340,2817,19
Aguada Fenix,TKA-21365,1242,25
Aguada Fenix,TKA-21366,2728,24
Aguada Fenix,TKA-21367,2772,24
Aguada Fenix,TKA-21368,2800,22
Aguada Fenix,TKA-21369,2781,25
Cahal Pech,PSUAMS-6764,2800,20
Cahal Pech,PSUAMS-6755,2785,20
Cahal Pech,PSUAMS-5862,2425,20
Cahal Pech,PSUAMS-6763,2465,20
Cahal Pech,PSUAMS-6762,2165,20
Cahal Pech,PSUAMS-6761,2395,20
Mayahak Cab Pek,UCIAMS-156914,2270,15
Mayahak Cab Pek,UCIAMS-186361,1290,20
Mayahak Cab Pek,PSUAMS-2145,1300,25
Mayahak Cab Pek,UCIAMS-228032,2650,30
Mayahak Cab Pek,PSUAMS-2149,1660,20
Saki Tzul,PSUAMS-3714,1235,20
Saki Tzul,PSUAMS-3609,1260,20
Saki Tzul,PSUAMS-3715,1620,20
Saki Tzul,PSUAMS-2146,1195,20
Saki Tzul,UCIAMS-228021,1585,25
Saki Tzul,PSUAMS-2147,1480,20
Saki Tzul,PSUAMS-5124,1530,20
Saki Tzul,UCIAMS-228034,1595,15
Saki Tzul,PSUAMS-4577,1550,15
Saki Tzul,PSUAMS-4578,1640,15
Saki Tzul,PSUAMS-4579,1530,20
Saki Tzul,PSUAMS-5128,1510,15
Saki Tzul,UCIAMS-228031,1635,25
Saki Tzul,PSUAMS-5895,1235,15
Saki Tzul,UCIAMS-228028,1375,25
Saki Tzul,PSUAMS-5898,1335,15
Cerros,Beta-347319,1970,30
Cerros,Beta-347320,2080,30
Cerros,Beta-389033,1990,30
Cerros,Beta-389034,2010,30
Cerros,Beta-389036,1920,30
Cerros,Beta-389038,1940,30
Cerros,Beta-389039,1950,30
Cerros,Beta-389040,1930,30
Cerros,Beta-398116,2030,30
Cerros,Beta-398117,1990,30
Cahal Pech,PSUAMS-5855,1980,25
Cahal Pech,PSUAMS-6759,1920,20
Cahal Pech,PSUAMS-5857,2475,20
Cahal Pech,PSUAMS-6760,2480,20
Nixtun-Ch’ich’,AA106865,2457,24
Nixtun-Ch’ich’,AA107441,2492,24
Nixtun-Ch’ich’,AA107442,2472,24
Nixtun-Ch’ich’,AA107440,2532,31
Nixtun-Ch’ich’,AA107489,2515,27
Noh K'uh,X22649A,2128,37
Noh K'uh,X22650A,2193,37
Noh K'uh,X22651,2186,37
Noh K'uh,X22652A,2098,37
Noh K'uh,X22656,2079,36
Noh K'uh,X22658A,2103,36
Noh K'uh,X22659,2150,36
Noh K'uh,X22660,2309,37
Noh K'uh,X22661A,2250,37
El Palmar,YU‐4695,1791,24
El Palmar,YU‐4124,1286,20
El Palmar,YU‐4101,1474,21
El Palmar,YU‐4102,1259,20
El Palmar,YU‐4081,1279,20
El Palmar,YU‐4676,1270,22
El Palmar,YU‐4681,1283,21
El Palmar,YU‐4641,1205,20
El Palmar,YU‐4683,1429,20
El Palmar,YU‐4690,1477,22
El Palmar,YU‐4675,1428,21
El Palmar,YU‐4680,2425,22
El Palmar,YU‐4684,1209,20
El Palmar,YU‐4682,1513,21
El Palmar,YU‐4674,1215,24
El Palmar,YU‐4691,1410,21
El Palmar,YU‐4672,1326,21
El Palmar,YU‐4103,1308,20
El Palmar,YU‐4080,1332,20
El Palmar,YU‐4671,1438,20
El Palmar,YU‐4131,1763,20
El Palmar,YU‐4079,1357,20
El Palmar,YU‐4084,1806,20
El Palmar,YU‐4082,1570,20
El Palmar,YU‐4133,1748,23
El Palmar,YU‐4116,2009,20
El Palmar,YU‐4112,1789,20
El Palmar,YU‐4138,1775,20
El Palmar,YU‐4134,1613,20
El Palmar,YU‐4129,1184,20
El Palmar,YU‐4117,1771,20
El Palmar,YU‐4106,1249,20
El Palmar,YU‐4110,1248,20
El Palmar,YU‐4109,1765,20
El Palmar,YU‐4132,1743,20
El Palmar,YU‐4115,1757,20
El Palmar,YU‐4113,1872,20
El Palmar,YU‐4093,1226,20
El Palmar,YU‐4092,1326,21
El Palmar,YU‐4085,1294,20
