"kld","mae","n_years","n_samples","n_clusters","tau","w_prec"
0.55631472064456,61.86724,499,50,3,5,0.25
0.0362036068807716,66.12296,2499,50,3,5,0.25
0.0676222943667392,111.27858,4999,50,3,5,0.25
1.34059271666871,133.543968,499,500,3,5,0.25
0.0342985842621955,111.768714,2499,500,3,5,0.25
0.00782836208068148,58.145774,4999,500,3,5,0.25
0.15970116695279,49.990647,499,1000,3,5,0.25
0.0088730094250552,71.477708,2499,1000,3,5,0.25
0.0109381500959754,76.662069,4999,1000,3,5,0.25
0.0853327871660156,33.29164,499,50,6,5,0.25
0.167992256706896,135.30488,2499,50,6,5,0.25
0.300316607930018,256.06846,4999,50,6,5,0.25
0.201615238285405,107.738098,499,500,6,5,0.25
0.0565696256810811,268.659878,2499,500,6,5,0.25
0.0208920794325032,58.92948,4999,500,6,5,0.25
0.0976246707997781,73.844983,499,1000,6,5,0.25
0.0325801015459799,133.881634,2499,1000,6,5,0.25
0.00555059181575458,73.853167,4999,1000,6,5,0.25
0.638102868604718,65.08868,499,50,9,5,0.25
0.148009165438302,51.80674,2499,50,9,5,0.25
0.172070950587327,126.90416,4999,50,9,5,0.25
0.020272083613007,36.999856,499,500,9,5,0.25
0.0200866317192864,130.636446,2499,500,9,5,0.25
0.0145782517926647,85.22586,4999,500,9,5,0.25
0.0566451024769233,48.575788,499,1000,9,5,0.25
0.0169644753063164,131.10578,2499,1000,9,5,0.25
0.0087287960296289,151.143147,4999,1000,9,5,0.25
0.402950674759412,50.2776,499,50,3,6,0.25
0.388714927549927,259.77292,2499,50,3,6,0.25
0.078256352239756,92.48784,4999,50,3,6,0.25
0.25840955091851,104.507536,499,500,3,6,0.25
0.0103078633404545,50.016562,2499,500,3,6,0.25
0.0118427435197505,70.286828,4999,500,3,6,0.25
0.112102930751998,32.716476,499,1000,3,6,0.25
0.00302194517196819,77.276568,2499,1000,3,6,0.25
0.00908797164951448,96.321798,4999,1000,3,6,0.25
0.234003107604269,97.60938,499,50,6,6,0.25
0.126819608420323,50.60462,2499,50,6,6,0.25
0.197408487619841,188.4794,4999,50,6,6,0.25
0.0852031640463682,44.935146,499,500,6,6,0.25
0.0358228688161704,97.08851,2499,500,6,6,0.25
0.0351580963924682,167.091316,4999,500,6,6,0.25
0.151689303481805,68.880756,499,1000,6,6,0.25
0.0563137334108961,180.18779,2499,1000,6,6,0.25
0.00973035338541709,91.445924,4999,1000,6,6,0.25
0.382023378328239,141.71512,499,50,9,6,0.25
0.185938808691731,116.83088,2499,50,9,6,0.25
0.261138827297105,143.07162,4999,50,9,6,0.25
0.0439258568990022,55.81241,499,500,9,6,0.25
0.0105472360660288,102.54796,2499,500,9,6,0.25
0.0567540213670032,225.307024,4999,500,9,6,0.25
0.0357786096513386,108.777526,499,1000,9,6,0.25
0.0144211159565468,120.482617,2499,1000,9,6,0.25
0.0149992143346838,82.396031,4999,1000,9,6,0.25
0.387880310517566,76.45376,499,50,3,8,0.25
0.116712675733603,40.2357,2499,50,3,8,0.25
0.0713442037941072,90.26504,4999,50,3,8,0.25
0.283748297706946,98.147344,499,500,3,8,0.25
0.134516322591472,233.050568,2499,500,3,8,0.25
0.0107650466549518,99.819468,4999,500,3,8,0.25
0.197902032093147,42.436898,499,1000,3,8,0.25
0.0695551708029686,164.922284,2499,1000,3,8,0.25
0.00721118088769743,61.123557,4999,1000,3,8,0.25
1.81078595723088,158.76084,499,50,6,8,0.25
0.159804938514553,75.8785,2499,50,6,8,0.25
0.106055388323758,267.5708,4999,50,6,8,0.25
0.0526788899409276,46.996518,499,500,6,8,0.25
0.0437998960495928,167.0087,2499,500,6,8,0.25
0.0211829159744671,111.10676,4999,500,6,8,0.25
0.16853692703393,103.315885,499,1000,6,8,0.25
0.015444097769926,182.204486,2499,1000,6,8,0.25
0.0135681211464296,166.721801,4999,1000,6,8,0.25
0.388980432495114,109.20258,499,50,9,8,0.25
0.116749683989016,125.63542,2499,50,9,8,0.25
0.207187444937515,76.83974,4999,50,9,8,0.25
0.0482676828666678,45.00265,499,500,9,8,0.25
0.0266874448701288,81.232816,2499,500,9,8,0.25
0.0222719905747897,86.057748,4999,500,9,8,0.25
0.148561334587176,113.994544,499,1000,9,8,0.25
0.00751639667942116,114.954635,2499,1000,9,8,0.25
0.00529418350067032,87.742824,4999,1000,9,8,0.25
0.197624209553164,57.63726,499,50,3,9,0.25
0.0859171466782139,86.15462,2499,50,3,9,0.25
0.0492238425914926,145.27268,4999,50,3,9,0.25
0.141851510473186,51.330826,499,500,3,9,0.25
0.013409238588833,79.88752,2499,500,3,9,0.25
0.0109378221451467,50.868352,4999,500,3,9,0.25
0.0904201929908182,44.974687,499,1000,3,9,0.25
0.0430112742214684,151.962218,2499,1000,3,9,0.25
0.0112911776969937,102.126958,4999,1000,3,9,0.25
0.212578280936724,83.06786,499,50,6,9,0.25
0.184569777780687,89.04722,2499,50,6,9,0.25
0.191242082016434,90.5236,4999,50,6,9,0.25
0.0455105087886524,68.95416,499,500,6,9,0.25
0.0384349418969826,174.281834,2499,500,6,9,0.25
0.0164256410022159,87.832732,4999,500,6,9,0.25
0.0846524472871187,57.766884,499,1000,6,9,0.25
0.0194567393990922,127.721035,2499,1000,6,9,0.25
0.00564598564932598,160.984159,4999,1000,6,9,0.25
0.0604712309928761,35.74862,499,50,9,9,0.25
0.178532600406526,59.16402,2499,50,9,9,0.25
0.244757875365384,196.8015,4999,50,9,9,0.25
0.0556896703020289,97.521092,499,500,9,9,0.25
0.00637929158297817,51.96086,2499,500,9,9,0.25
0.0165620318833964,106.16231,4999,500,9,9,0.25
0.127276556747055,50.690778,499,1000,9,9,0.25
0.0216911542736729,145.718445,2499,1000,9,9,0.25
0.011952444583289,142.637939,4999,1000,9,9,0.25
1.2119114306162,120.08926,499,50,3,5,0.75
0.121181837858274,88.76286,2499,50,3,5,0.75
0.0459828865070605,166.04322,4999,50,3,5,0.75
0.371971669447685,91.580562,499,500,3,5,0.75
0.0405451434693722,106.95281,2499,500,3,5,0.75
0.00304301221572968,84.253698,4999,500,3,5,0.75
0.180066166687872,43.578838,499,1000,3,5,0.75
0.010637101319291,40.799955,2499,1000,3,5,0.75
0.0129725460917608,141.206387,4999,1000,3,5,0.75
0.295797982273889,102.71336,499,50,6,5,0.75
0.0804365474128322,100.01754,2499,50,6,5,0.75
0.195172760493967,107.8944,4999,50,6,5,0.75
0.0597372719184569,81.109824,499,500,6,5,0.75
0.0125432821692477,66.28932,2499,500,6,5,0.75
0.0143142891055307,66.3809,4999,500,6,5,0.75
0.155222427120991,76.162939,499,1000,6,5,0.75
0.00980439684184993,78.019299,2499,1000,6,5,0.75
0.0276367929377832,183.402916,4999,1000,6,5,0.75
0.0469314926714306,55.2048,499,50,9,5,0.75
0.0615475651913793,80.04204,2499,50,9,5,0.75
0.0813839831456135,172.7579,4999,50,9,5,0.75
0.125068147940105,82.613724,499,500,9,5,0.75
0.0134197115831874,81.572478,2499,500,9,5,0.75
0.0217801533165786,144.885596,4999,500,9,5,0.75
0.0605089505887277,82.935992,499,1000,9,5,0.75
0.00538247863181693,69.034797,2499,1000,9,5,0.75
0.00819926428575024,86.633297,4999,1000,9,5,0.75
0.40260069608881,59.54548,499,50,3,6,0.75
0.0839937828385306,125.82326,2499,50,3,6,0.75
0.0796165738013855,54.89686,4999,50,3,6,0.75
0.382686381223239,67.4247,499,500,3,6,0.75
0.0556884004849639,112.387272,2499,500,3,6,0.75
0.00568559962197936,80.85139,4999,500,3,6,0.75
0.402608552233169,87.658731,499,1000,3,6,0.75
0.0119446380128811,101.240934,2499,1000,3,6,0.75
0.00623435681568952,90.548871,4999,1000,3,6,0.75
0.160245685849869,92.17948,499,50,6,6,0.75
0.115146613812962,77.711,2499,50,6,6,0.75
0.178545646553025,138.67398,4999,50,6,6,0.75
0.103157999794582,41.471558,499,500,6,6,0.75
0.0140034561253842,85.752842,2499,500,6,6,0.75
0.00903896877678505,61.375348,4999,500,6,6,0.75
0.243780905897319,65.353314,499,1000,6,6,0.75
0.0171790847075829,84.305574,2499,1000,6,6,0.75
0.0201105980499341,181.260136,4999,1000,6,6,0.75
0.169380327319092,89.16062,499,50,9,6,0.75
0.0706571659415574,84.1225,2499,50,9,6,0.75
0.116633119806788,223.75532,4999,50,9,6,0.75
0.141565020255887,77.331504,499,500,9,6,0.75
0.00967208897288468,99.196654,2499,500,9,6,0.75
0.0268712044211418,174.776072,4999,500,9,6,0.75
0.0374081175645032,62.170646,499,1000,9,6,0.75
0.00631267567841158,91.111447,2499,1000,9,6,0.75
0.00793369272133928,86.754104,4999,1000,9,6,0.75
0.350873602858849,77.30796,499,50,3,8,0.75
0.158908699074776,77.92498,2499,50,3,8,0.75
0.189587098115818,149.86366,4999,50,3,8,0.75
0.13103882349708,33.101152,499,500,3,8,0.75
0.019572480398578,95.600594,2499,500,3,8,0.75
0.0141362852638189,70.809532,4999,500,3,8,0.75
0.265334228800209,74.595305,499,1000,3,8,0.75
0.00703674885053968,42.44415,2499,1000,3,8,0.75
0.0281013836949223,238.220634,4999,1000,3,8,0.75
0.196319759826482,59.7211,499,50,6,8,0.75
0.0555528491923257,85.46736,2499,50,6,8,0.75
0.056408364062419,141.20496,4999,50,6,8,0.75
0.250063999715325,99.187494,499,500,6,8,0.75
0.036942218994886,85.186332,2499,500,6,8,0.75
0.0120170231919543,175.409754,4999,500,6,8,0.75
0.240000778673299,59.518648,499,1000,6,8,0.75
0.0175026618719997,100.335405,2499,1000,6,8,0.75
0.00540776775765613,129.368039,4999,1000,6,8,0.75
0.137046293488369,52.74366,499,50,9,8,0.75
0.352007595375549,99.6018,2499,50,9,8,0.75
0.103775134248888,153.20692,4999,50,9,8,0.75
0.0407422219460575,50.419696,499,500,9,8,0.75
0.0807166230825973,296.248132,2499,500,9,8,0.75
0.0128925827440766,113.145852,4999,500,9,8,0.75
0.0560428644211049,50.501336,499,1000,9,8,0.75
0.013215378060063,69.843342,2499,1000,9,8,0.75
0.00477317517153098,83.233472,4999,1000,9,8,0.75
0.203329934660309,42.0512,499,50,3,9,0.75
0.107055097882253,111.37192,2499,50,3,9,0.75
0.100588947296195,79.26286,4999,50,3,9,0.75
0.169872129182552,84.383696,499,500,3,9,0.75
0.0248872636165498,64.438466,2499,500,3,9,0.75
0.00933578235269351,63.826526,4999,500,3,9,0.75
0.406337201760418,98.517663,499,1000,3,9,0.75
0.246191423434186,251.795345,2499,1000,3,9,0.75
0.00341346164661734,62.419107,4999,1000,3,9,0.75
0.0499188861683285,33.1403,499,50,6,9,0.75
0.059004107327178,144.28954,2499,50,6,9,0.75
0.121252031892965,93.43922,4999,50,6,9,0.75
0.169467470822538,74.25519,499,500,6,9,0.75
0.0135436654739366,82.637404,2499,500,6,9,0.75
0.0162654542502158,91.5671,4999,500,6,9,0.75
0.18081055116821,108.413849,499,1000,6,9,0.75
0.01308364339619,80.347815,2499,1000,6,9,0.75
0.0105070901217865,108.838466,4999,1000,6,9,0.75
0.310657106887311,161.25756,499,50,9,9,0.75
0.042726025189254,59.53128,2499,50,9,9,0.75
0.164435250873549,87.06902,4999,50,9,9,0.75
0.0781358733291864,79.96135,499,500,9,9,0.75
0.0159439057607027,73.474404,2499,500,9,9,0.75
0.0236371638982897,186.218456,4999,500,9,9,0.75
0.0501222284232299,49.37855,499,1000,9,9,0.75
0.00617994283764239,45.226611,2499,1000,9,9,0.75
0.00846234390723268,111.461318,4999,1000,9,9,0.75
0.0426222240551125,34.87476,499,50,3,5,0.25
0.0652914361342072,40.55508,2499,50,3,5,0.25
0.121208395032928,93.6203,4999,50,3,5,0.25
0.0374310489445397,37.876382,499,500,3,5,0.25
0.0349259581400149,104.543592,2499,500,3,5,0.25
0.0193129216787487,64.666738,4999,500,3,5,0.25
0.155833526940953,88.66176,499,1000,3,5,0.25
0.0225154963698874,165.709829,2499,1000,3,5,0.25
0.00686903872833005,111.217012,4999,1000,3,5,0.25
0.17543460773217,47.41112,499,50,6,5,0.25
0.315256034779074,135.08078,2499,50,6,5,0.25
0.192506428576055,227.09046,4999,50,6,5,0.25
0.193963304936071,57.984538,499,500,6,5,0.25
0.0183438445959143,93.381066,2499,500,6,5,0.25
0.0124967343299624,61.410388,4999,500,6,5,0.25
0.19310244757615,101.250402,499,1000,6,5,0.25
0.0602648046164872,135.744546,2499,1000,6,5,0.25
0.0135836697783063,61.207628,4999,1000,6,5,0.25
0.143151782091646,62.99868,499,50,9,5,0.25
0.277991066370222,271.97986,2499,50,9,5,0.25
0.0848400929629484,48.84988,4999,50,9,5,0.25
0.150536816227921,85.663188,499,500,9,5,0.25
0.0214839940333819,148.782266,2499,500,9,5,0.25
0.0223910321678041,116.848388,4999,500,9,5,0.25
0.0563699039097641,79.152526,499,1000,9,5,0.25
0.00389743854503647,81.947375,2499,1000,9,5,0.25
0.00833484257613606,114.876308,4999,1000,9,5,0.25
0.331759214298952,62.13548,499,50,3,6,0.25
0.208954240487072,103.7475,2499,50,3,6,0.25
0.172433211736771,204.78208,4999,50,3,6,0.25
0.610881359932295,63.751934,499,500,3,6,0.25
0.0118446594113791,115.774274,2499,500,3,6,0.25
0.00788246326189533,106.578958,4999,500,3,6,0.25
0.382855534785112,84.806008,499,1000,3,6,0.25
0.00594178858468472,56.764596,2499,1000,3,6,0.25
0.00832334556777484,148.302602,4999,1000,3,6,0.25
0.160002585968641,68.39566,499,50,6,6,0.25
0.14424384361463,105.1192,2499,50,6,6,0.25
0.553635191244732,97.8647,4999,50,6,6,0.25
0.0722120004222257,40.095892,499,500,6,6,0.25
0.0432263488188206,193.555512,2499,500,6,6,0.25
0.0400963614829057,98.81603,4999,500,6,6,0.25
0.17699512943178,95.808894,499,1000,6,6,0.25
0.0111288237765058,102.949217,2499,1000,6,6,0.25
0.00907588083162082,57.263247,4999,1000,6,6,0.25
0.194706684176088,76.36382,499,50,9,6,0.25
0.173399840470518,92.24074,2499,50,9,6,0.25
0.387299377985709,103.2427,4999,50,9,6,0.25
0.187105177447059,151.162682,499,500,9,6,0.25
0.0635631392933904,169.11557,2499,500,9,6,0.25
0.0235189025957249,163.796662,4999,500,9,6,0.25
0.29314247138827,142.466076,499,1000,9,6,0.25
0.0164907298023084,118.638622,2499,1000,9,6,0.25
0.0120000765189451,220.248467,4999,1000,9,6,0.25
0.120910438657985,35.44238,499,50,3,8,0.25
0.0436805891389561,84.61338,2499,50,3,8,0.25
0.263256100150203,68.4932,4999,50,3,8,0.25
0.173479541981084,80.605388,499,500,3,8,0.25
0.0142394393491945,85.020998,2499,500,3,8,0.25
0.012187237034639,56.585298,4999,500,3,8,0.25
0.0877641196035453,45.075637,499,1000,3,8,0.25
0.0161331362233579,87.792431,2499,1000,3,8,0.25
0.00363703298908604,87.808015,4999,1000,3,8,0.25
0.191918013082233,87.08256,499,50,6,8,0.25
0.342762303648633,95.9678,2499,50,6,8,0.25
0.0762246925340245,109.15366,4999,50,6,8,0.25
0.175280152074731,84.378474,499,500,6,8,0.25
0.0109020520972399,56.057476,2499,500,6,8,0.25
0.0113266444475246,55.457846,4999,500,6,8,0.25
0.163140604782331,90.69589,499,1000,6,8,0.25
0.0357687612685318,94.267965,2499,1000,6,8,0.25
0.0124577914856513,181.886548,4999,1000,6,8,0.25
0.213300910372452,145.02814,499,50,9,8,0.25
0.135289516866386,56.90494,2499,50,9,8,0.25
0.061889374668276,60.43378,4999,50,9,8,0.25
0.0837690748854269,60.81382,499,500,9,8,0.25
0.0388900471124713,133.575932,2499,500,9,8,0.25
0.0102190024111134,149.717888,4999,500,9,8,0.25
0.142940309116887,93.313988,499,1000,9,8,0.25
0.0203437519251054,90.450598,2499,1000,9,8,0.25
0.00987876285177633,81.536042,4999,1000,9,8,0.25
0.623762148726599,145.01402,499,50,3,9,0.25
0.115779946027159,145.8596,2499,50,3,9,0.25
0.336151411341347,119.88956,4999,50,3,9,0.25
0.387005447135139,61.689122,499,500,3,9,0.25
0.283966208533539,257.895262,2499,500,3,9,0.25
0.00847671442874226,98.219932,4999,500,3,9,0.25
0.259191100914356,63.359626,499,1000,3,9,0.25
0.0110649225805421,83.833765,2499,1000,3,9,0.25
0.0140351698014069,185.081674,4999,1000,3,9,0.25
0.0902319797875748,48.28118,499,50,6,9,0.25
0.22533262183943,143.62766,2499,50,6,9,0.25
0.252490686060477,112.4084,4999,50,6,9,0.25
0.29478047690825,100.359692,499,500,6,9,0.25
0.0588722456423165,295.711334,2499,500,6,9,0.25
0.0180991517134585,130.097312,4999,500,6,9,0.25
0.0287027181299443,37.950767,499,1000,6,9,0.25
0.0116415571772619,95.228759,2499,1000,6,9,0.25
0.014161006595559,117.784667,4999,1000,6,9,0.25
0.0530280182954232,34.54038,499,50,9,9,0.25
0.0789656624764446,68.10072,2499,50,9,9,0.25
0.140143890931578,119.20886,4999,50,9,9,0.25
0.0586811791602643,35.687598,499,500,9,9,0.25
0.0244880813180573,98.450554,2499,500,9,9,0.25
0.0274139155454086,160.614494,4999,500,9,9,0.25
0.058722396352443,103.56851,499,1000,9,9,0.25
0.0109921624994457,83.990077,2499,1000,9,9,0.25
0.00846693723745231,87.963308,4999,1000,9,9,0.25
0.704214736541915,99.27206,499,50,3,5,0.75
0.21582099650771,140.8164,2499,50,3,5,0.75
0.23233258412321,145.5046,4999,50,3,5,0.75
