"kld","mae","n_years","n_samples","n_clusters","tau","w_prec"
0.567351365993091,62.04988,499,50,3,6,0.5
0.0382754323170991,66.03144,2499,50,3,6,0.5
0.0575617978122378,111.74956,4999,50,3,6,0.5
1.29415843197987,133.71325,499,500,3,6,0.5
0.048272955220485,113.658262,2499,500,3,6,0.5
0.00588378301413591,58.304272,4999,500,3,6,0.5
0.160365947546094,49.899862,499,1000,3,6,0.5
0.0166406181395233,72.227242,2499,1000,3,6,0.5
0.00728924069858338,76.855598,4999,1000,3,6,0.5
0.124460134448761,34.52228,499,50,6,6,0.5
0.152395938063828,135.51714,2499,50,6,6,0.5
0.268416546595131,256.61214,4999,50,6,6,0.5
0.197647780106863,107.916638,499,500,6,6,0.5
0.0572932106442929,269.308374,2499,500,6,6,0.5
0.0163762629273991,58.904446,4999,500,6,6,0.5
0.0974584349566129,73.839289,499,1000,6,6,0.5
0.0315647184641979,133.985609,2499,1000,6,6,0.5
0.00503486144244118,73.860674,4999,1000,6,6,0.5
0.543797817132168,65.51022,499,50,9,6,0.5
0.136114716309622,52.29282,2499,50,9,6,0.5
0.133849720968902,128.01502,4999,50,9,6,0.5
0.0220003531271709,37.335422,499,500,9,6,0.5
0.0191680949340651,130.865216,2499,500,9,6,0.5
0.0132478797803903,85.22022,4999,500,9,6,0.5
0.0615735485370352,48.688511,499,1000,9,6,0.5
0.0183096743963074,131.321564,2499,1000,9,6,0.5
0.00920850373223888,151.159551,4999,1000,9,6,0.5
0.394861754971122,50.68712,499,50,3,8,0.5
0.3181150559007,261.2423,2499,50,3,8,0.5
0.0493323121821272,91.84794,4999,50,3,8,0.5
0.244274402553179,105.200234,499,500,3,8,0.5
0.00876064004812381,50.415854,2499,500,3,8,0.5
0.00913736249110391,70.567434,4999,500,3,8,0.5
0.162415810150905,34.250226,499,1000,3,8,0.5
0.00460084333810712,77.465012,2499,1000,3,8,0.5
0.00721055118888265,96.35103,4999,1000,3,8,0.5
0.235044101516058,97.65248,499,50,6,8,0.5
0.0858982614526394,51.3226,2499,50,6,8,0.5
0.180197747337843,189.50188,4999,50,6,8,0.5
0.104803692020674,45.882616,499,500,6,8,0.5
0.0254345244835926,98.009898,2499,500,6,8,0.5
0.0329363975443117,167.421602,4999,500,6,8,0.5
0.151030608177903,68.851498,499,1000,6,8,0.5
0.0537363064344691,180.002116,2499,1000,6,8,0.5
0.00772519019334945,91.606831,4999,1000,6,8,0.5
0.344928365203895,140.98148,499,50,9,8,0.5
0.175251116179357,116.7078,2499,50,9,8,0.5
0.154692189791965,144.6833,4999,50,9,8,0.5
0.0489814364017217,56.189738,499,500,9,8,0.5
0.0123521456653846,102.085222,2499,500,9,8,0.5
0.0534273981780582,224.94942,4999,500,9,8,0.5
0.0414405637288422,109.165502,499,1000,9,8,0.5
0.0145187323536994,120.97164,2499,1000,9,8,0.5
0.0110962071451565,82.511696,4999,1000,9,8,0.5
0.363427005417177,76.56212,499,50,3,9,0.5
0.0808457411414885,41.88444,2499,50,3,9,0.5
0.0662631234445231,91.22698,4999,50,3,9,0.5
0.279285044602468,98.32095,499,500,3,9,0.5
0.145294567640661,234.047246,2499,500,3,9,0.5
0.00899569580576756,100.298012,4999,500,3,9,0.5
0.224282860432581,43.178212,499,1000,3,9,0.5
0.0653338610615343,165.779169,2499,1000,3,9,0.5
0.00691655494549361,61.1356,4999,1000,3,9,0.5
1.76389298385549,158.82364,499,50,6,9,0.5
0.108402876457574,77.13934,2499,50,6,9,0.5
0.0992389210842057,268.38434,4999,50,6,9,0.5
0.0598637327728929,47.490752,499,500,6,9,0.5
0.0482823643987242,167.287964,2499,500,6,9,0.5
0.0188867414125795,111.281212,4999,500,6,9,0.5
0.160356419090241,104.069418,499,1000,6,9,0.5
0.0188240978333702,182.484695,2499,1000,6,9,0.5
0.0124083194034471,166.705507,4999,1000,6,9,0.5
0.381566235363684,109.07712,499,50,9,9,0.5
0.0852930807146006,125.351,2499,50,9,9,0.5
0.128122046617564,76.51646,4999,50,9,9,0.5
0.0544576471625272,45.445542,499,500,9,9,0.5
0.0261456757189341,81.204136,2499,500,9,9,0.5
0.0193017318395308,86.078018,4999,500,9,9,0.5
0.150359846799186,114.001906,499,1000,9,9,0.5
0.00772971654827924,115.365589,2499,1000,9,9,0.5
0.00461048292755606,87.719634,4999,1000,9,9,0.5
0.237464174439576,59.02652,499,50,3,6,1
0.0788948237867641,86.61148,2499,50,3,6,1
0.0463412590080114,145.6882,4999,50,3,6,1
0.196516577341221,52.924346,499,500,3,6,1
0.023993898140579,81.449122,2499,500,3,6,1
0.0098999970571726,50.821532,4999,500,3,6,1
0.137522065827312,46.779039,499,1000,3,6,1
0.057444806927909,153.990377,2499,1000,3,6,1
0.0104932614822895,102.295178,4999,1000,3,6,1
0.210062345992106,83.178,499,50,6,6,1
0.0928307779259135,89.40816,2499,50,6,6,1
0.119668785300698,90.19604,4999,50,6,6,1
0.0662309106997016,69.418936,499,500,6,6,1
0.0361038971609994,174.266992,2499,500,6,6,1
0.0121749373799715,87.955242,4999,500,6,6,1
0.0859432959038223,57.988105,499,1000,6,6,1
0.0230128669184611,128.146608,2499,1000,6,6,1
0.00572762526475781,161.148875,4999,1000,6,6,1
0.0580224144021754,36.0853,499,50,9,6,1
0.126577999951127,59.30444,2499,50,9,6,1
0.174109398479175,197.12074,4999,50,9,6,1
0.058232571720839,97.174956,499,500,9,6,1
0.00953428495865643,52.105356,2499,500,9,6,1
0.0156517474991348,106.326336,4999,500,9,6,1
0.126523643646083,50.848353,499,1000,9,6,1
0.0208302136486867,145.842499,2499,1000,9,6,1
0.0115941729374217,143.439244,4999,1000,9,6,1
0.992705196614426,116.88368,499,50,3,8,1
0.108842643581416,89.21398,2499,50,3,8,1
0.0440236627726093,167.0308,4999,50,3,8,1
0.35531055925387,91.440846,499,500,3,8,1
0.0468001791776889,107.4316,2499,500,3,8,1
0.00339269817163533,84.343282,4999,500,3,8,1
0.2213590002065,45.762407,499,1000,3,8,1
0.0168876367385468,40.854267,2499,1000,3,8,1
0.0139947423193197,141.343014,4999,1000,3,8,1
0.287689505511587,102.86624,499,50,6,8,1
0.0692938009509389,99.85998,2499,50,6,8,1
0.159365999637642,105.14642,4999,50,6,8,1
0.0615717471362641,81.237634,499,500,6,8,1
0.0168733587694882,66.48978,2499,500,6,8,1
0.0123452907188492,66.479508,4999,500,6,8,1
0.146516480681504,75.745983,499,1000,6,8,1
0.0129039413620848,78.122065,2499,1000,6,8,1
