"cal_age","c14_age","c14_error"
745,871,11
746,871,11
747,872,11
748,874,11
749,876,11
750,879,11
751,881,11
752,882,11
753,883,11
754,882,11
755,881,11
756,879,11
757,876,11
758,874,11
759,872,11
760,870,11
761,869,11
762,868,11
763,867,11
764,865,11
765,864,11
766,863,11
767,863,11
768,864,11
769,866,11
770,868,11
771,871,11
772,874,11
773,877,11
774,879,11
775,881,11
776,883,11
777,883,11
778,883,11
779,883,11
780,882,11
781,882,11
782,882,11
783,884,11
784,886,10
785,889,10
786,893,10
787,896,10
788,899,10
789,903,10
790,906,10
791,910,11
792,914,11
793,919,11
794,923,11
795,928,11
796,933,10
797,937,10
798,940,11
799,942,11
800,944,11
801,945,11
802,947,11
803,948,11
804,949,11
805,950,11
806,950,11
807,950,11
808,950,11
809,948,11
810,946,11
811,944,11
812,942,11
813,940,10
814,939,10
815,939,10
816,940,10
817,941,10
818,942,10
819,942,10
820,943,10
821,943,10
822,944,10
823,944,10
824,946,10
825,947,10
826,949,10
827,950,10
828,951,10
829,952,10
830,952,10
831,953,10
832,954,10
833,955,10
834,956,10
835,957,10
836,959,10
837,960,10
838,961,10
839,961,11
840,961,11
841,960,11
842,959,11
843,957,11
844,955,10
845,953,10
846,951,10
847,949,10
848,947,10
849,945,11
850,944,11
851,943,11
852,943,11
853,944,11
854,945,11
855,947,11
856,950,10
857,953,10
858,955,10
859,956,10
860,957,11
861,957,10
862,957,10
863,956,10
864,954,10
865,952,10
866,950,10
867,947,10
868,943,10
869,939,10
870,935,10
871,930,10
872,926,10
873,924,10
874,922,10
875,921,10
876,921,10
877,921,10
878,921,10
879,921,10
880,921,10
881,921,10
882,921,10
883,921,10
884,922,10
885,922,10
886,922,10
887,922,10
888,922,10
889,921,10
890,920,10
891,918,10
892,917,10
893,915,10
894,914,10
895,914,10
896,917,10
897,921,10
898,926,10
899,931,10
900,936,10
901,940,10
902,944,10
903,948,11
904,950,10
905,952,11
906,954,11
907,955,10
908,956,10
909,957,10
910,959,10
911,961,10
912,963,10
913,966,10
914,969,10
915,972,10
916,976,10
917,980,10
918,984,10
919,988,10
920,992,10
921,995,10
922,999,10
923,1002,10
924,1006,10
925,1009,10
926,1014,10
927,1019,10
928,1025,10
929,1030,10
930,1035,10
931,1039,10
932,1042,10
933,1044,10
934,1046,10
935,1046,10
936,1047,10
937,1048,10
938,1049,10
939,1050,10
940,1051,10
941,1052,10
942,1051,10
943,1050,10
944,1047,10
945,1044,10
946,1040,10
947,1036,10
948,1033,10
949,1030,10
950,1028,10
951,1027,10
952,1027,10
953,1030,10
954,1035,10
955,1043,10
956,1054,10
957,1066,10
958,1077,10
959,1085,10
960,1091,10
961,1094,10
962,1096,10
963,1097,10
964,1096,10
965,1095,10
966,1094,10
967,1093,10
968,1092,10
969,1091,10
970,1091,10
971,1093,10
972,1096,10
973,1100,10
974,1104,10
975,1109,10
976,1113,10
977,1116,10
978,1118,10
979,1119,10
980,1119,10
981,1118,11
982,1116,11
983,1115,11
984,1113,11
985,1113,11
986,1112,12
987,1112,12
988,1112,13
989,1113,13
990,1113,13
991,1114,12
992,1115,12
993,1116,12
994,1118,12
995,1119,12
996,1120,12
997,1122,12
998,1123,12
999,1125,13
1000,1126,13
1001,1128,13
1002,1129,13
1003,1131,13
1004,1132,14
1005,1133,14
1006,1134,13
1007,1135,13
1008,1136,13
1009,1137,13
1010,1138,13
1011,1138,13
1012,1139,13
1013,1139,13
1014,1139,13
1015,1139,13
1016,1139,13
1017,1138,13
1018,1138,13
1019,1137,13
1020,1136,13
1021,1135,13
1022,1134,13
1023,1132,13
1024,1130,13
1025,1128,13
1026,1126,13
1027,1124,13
1028,1122,12
1029,1120,12
1030,1118,12
1031,1116,12
1032,1114,12
1033,1112,12
1034,1110,12
1035,1108,12
1036,1106,12
1037,1105,12
1038,1103,12
1039,1102,12
1040,1102,12
1041,1101,12
1042,1101,13
1043,1101,13
1044,1101,13
1045,1102,13
1046,1103,13
1047,1105,13
1048,1106,13
1049,1109,12
1050,1111,12
1051,1114,12
1052,1117,12
1053,1120,12
1054,1124,12
1055,1127,12
1056,1131,12
1057,1135,12
1058,1139,12
1059,1143,12
1060,1147,12
1061,1151,13
1062,1155,13
1063,1159,13
1064,1163,14
1065,1166,14
1066,1170,14
1067,1174,14
1068,1177,14
1069,1180,14
1070,1183,14
1071,1186,14
1072,1188,14
1073,1191,14
1074,1193,14
1075,1195,14
1076,1196,14
1077,1198,14
1078,1199,13
1079,1200,13
1080,1201,13
1081,1201,13
1082,1202,13
1083,1202,13
1084,1202,13
1085,1202,13
1086,1202,13
1087,1202,13
1088,1202,14
1089,1202,14
1090,1201,14
1091,1201,14
1092,1200,14
1093,1199,14
1094,1199,14
1095,1198,14
1096,1197,14
1097,1196,14
1098,1195,13
1099,1195,13
1100,1194,13
1101,1193,13
1102,1192,13
1103,1191,13
1104,1191,13
1105,1190,13
1106,1189,14
1107,1189,14
1108,1189,14
1109,1188,14
1110,1188,15
1111,1188,15
1112,1188,15
1113,1189,16
1114,1189,16
1115,1190,16
1116,1191,16
1117,1192,16
1118,1193,15
1119,1195,15
1120,1196,15
1121,1198,14
1122,1200,14
1123,1203,14
1124,1205,14
1125,1207,14
1126,1210,14
1127,1212,14
1128,1215,14
1129,1217,13
1130,1219,13
1131,1220,12
1132,1222,12
1133,1223,12
1134,1224,11
1135,1224,11
1136,1224,11
1137,1223,12
1138,1222,12
1139,1220,12
1140,1218,12
1141,1217,12
1142,1217,12
1143,1217,12
1144,1217,12
1145,1218,12
1146,1218,12
1147,1219,11
1148,1219,11
1149,1220,11
1150,1220,11
1151,1221,10
1152,1223,10
1153,1225,10
1154,1226,10
1155,1228,10
1156,1228,10
1157,1228,10
1158,1226,10
1159,1222,10
1160,1217,10
1161,1211,10
1162,1205,10
1163,1199,10
1164,1194,10
1165,1191,10
1166,1188,10
1167,1185,10
1168,1183,10
1169,1179,10
1170,1174,10
1171,1168,10
1172,1163,9
1173,1166,9
1174,1178,9
1175,1203,9
1176,1238,9
1177,1269,10
1178,1289,9
1179,1299,10
1180,1302,10
1181,1301,10
1182,1299,10
1183,1295,10
1184,1291,10
1185,1287,10
1186,1284,10
1187,1283,10
1188,1284,10
1189,1286,10
1190,1290,10
1191,1295,10
1192,1300,10
1193,1305,10
1194,1308,10
1195,1310,10
1196,1309,10
1197,1307,10
1198,1304,10
1199,1302,10
1200,1301,10
1201,1299,10
1202,1298,10
1203,1297,10
1204,1296,10
1205,1294,10
1206,1291,10
1207,1287,10
1208,1284,10
1209,1279,10
1210,1275,10
1211,1271,10
1212,1267,10
1213,1265,10
1214,1263,10
1215,1263,10
1216,1263,10
1217,1263,10
1218,1263,10
1219,1264,10
1220,1264,10
1221,1265,10
1222,1265,10
1223,1265,10
1224,1263,10
1225,1262,10
1226,1260,10
1227,1258,10
1228,1256,10
1229,1254,10
1230,1253,11
1231,1253,11
1232,1253,11
1233,1254,11
1234,1254,11
1235,1255,11
1236,1254,11
1237,1254,11
1238,1253,11
1239,1252,11
1240,1251,11
1241,1252,11
1242,1255,11
1243,1259,11
1244,1264,11
1245,1270,11
1246,1274,11
1247,1278,11
1248,1281,11
1249,1283,11
1250,1284,11
1251,1283,11
1252,1282,11
1253,1281,11
1254,1279,11
1255,1277,11
1256,1276,11
1257,1275,11
1258,1276,12
1259,1277,12
1260,1278,12
1261,1280,12
1262,1281,13
1263,1283,13
1264,1285,14
1265,1286,14
1266,1288,14
1267,1290,14
1268,1292,14
1269,1294,14
1270,1295,14
1271,1297,14
1272,1299,14
1273,1302,13
1274,1304,13
1275,1306,13
1276,1308,13
1277,1311,13
1278,1313,13
1279,1316,13
1280,1318,13
1281,1321,13
1282,1324,14
1283,1327,14
1284,1331,14
1285,1334,14
1286,1337,14
1287,1341,14
1288,1345,14
1289,1349,14
1290,1353,14
1291,1357,13
1292,1361,13
1293,1365,13
1294,1369,13
1295,1374,13
1296,1378,13
1297,1382,13
1298,1387,13
1299,1391,13
1300,1396,13
1301,1400,13
1302,1404,13
1303,1409,13
1304,1413,13
1305,1417,14
1306,1421,13
1307,1425,13
1308,1429,13
1309,1432,13
1310,1436,13
1311,1439,12
1312,1442,12
1313,1445,12
1314,1448,13
1315,1450,13
1316,1451,13
1317,1453,13
1318,1453,13
1319,1453,13
1320,1453,13
1321,1452,13
1322,1451,13
1323,1450,13
1324,1448,14
1325,1447,14
1326,1445,14
1327,1444,13
1328,1442,13
1329,1441,13
1330,1439,14
1331,1438,14
1332,1437,14
1333,1435,14
1334,1434,14
1335,1434,14
1336,1433,13
1337,1433,13
1338,1433,13
1339,1434,14
1340,1436,14
1341,1438,14
1342,1440,14
1343,1443,13
1344,1447,13
1345,1451,13
1346,1455,13
1347,1459,13
1348,1463,14
1349,1467,14
1350,1470,14
1351,1474,14
1352,1477,14
1353,1479,13
1354,1481,13
1355,1483,13
1356,1485,13
1357,1487,14
1358,1488,14
1359,1489,14
1360,1490,14
1361,1491,14
1362,1491,13
1363,1492,13
1364,1493,13
1365,1493,14
1366,1494,14
1367,1494,14
1368,1495,14
1369,1496,14
1370,1496,13
1371,1497,13
1372,1498,14
1373,1499,14
1374,1500,14
1375,1501,14
1376,1503,14
1377,1504,13
1378,1506,13
1379,1508,13
1380,1509,14
1381,1511,14
1382,1513,14
1383,1515,14
1384,1517,14
1385,1519,13
1386,1521,13
1387,1523,13
1388,1525,13
1389,1526,13
1390,1528,14
1391,1529,14
1392,1529,14
1393,1530,13
1394,1531,13
1395,1531,13
1396,1532,13
1397,1533,13
1398,1534,13
1399,1535,13
1400,1537,13
1401,1539,13
1402,1541,13
1403,1544,13
1404,1547,13
1405,1550,13
1406,1553,13
1407,1556,13
1408,1559,12
1409,1562,12
1410,1566,13
1411,1569,13
1412,1572,13
1413,1575,13
1414,1579,13
1415,1582,12
1416,1585,12
1417,1588,13
1418,1591,13
1419,1593,13
1420,1595,13
1421,1597,13
1422,1599,13
1423,1600,12
1424,1601,13
1425,1602,13
1426,1603,13
1427,1603,12
1428,1603,12
1429,1602,13
1430,1602,13
1431,1600,13
1432,1599,13
1433,1597,13
1434,1595,13
1435,1593,13
1436,1592,13
1437,1591,13
1438,1591,13
1439,1592,13
1440,1592,12
1441,1594,12
1442,1595,13
1443,1596,13
1444,1597,13
1445,1598,13
1446,1598,12
1447,1598,12
1448,1598,12
1449,1597,13
1450,1595,13
1451,1593,13
1452,1590,12
1453,1588,12
1454,1585,12
1455,1582,13
1456,1580,13
1457,1578,12
1458,1577,12
1459,1575,12
1460,1575,12
1461,1574,12
1462,1574,12
1463,1573,12
1464,1573,11
1465,1573,11
1466,1573,11
1467,1574,11
1468,1574,11
1469,1576,11
1470,1578,11
1471,1580,11
1472,1584,11
1473,1587,11
1474,1591,11
1475,1595,11
1476,1598,11
1477,1601,11
1478,1603,11
1479,1604,11
1480,1603,11
1481,1603,11
1482,1601,11
1483,1600,11
1484,1598,11
1485,1596,11
1486,1594,11
1487,1592,11
1488,1589,11
1489,1587,11
1490,1585,11
1491,1583,11
1492,1582,11
1493,1582,11
1494,1583,11
1495,1584,11
1496,1585,11
1497,1586,11
1498,1586,11
1499,1585,11
1500,1583,11
1501,1581,11
1502,1579,11
1503,1577,11
1504,1576,11
1505,1576,11
1506,1577,11
1507,1578,11
1508,1580,11
1509,1582,11
1510,1584,11
1511,1585,11
1512,1587,11
1513,1590,11
1514,1593,11
1515,1596,11
1516,1599,11
1517,1603,11
1518,1605,11
1519,1608,11
1520,1609,11
1521,1611,11
1522,1613,11
1523,1615,11
1524,1616,11
1525,1618,11
1526,1620,11
1527,1622,11
1528,1624,11
1529,1626,11
1530,1629,11
1531,1632,11
1532,1637,11
1533,1642,11
1534,1648,11
1535,1653,11
1536,1658,11
1537,1662,11
1538,1665,11
1539,1667,11
1540,1668,11
1541,1670,11
1542,1672,11
1543,1675,11
1544,1678,11
1545,1682,11
1546,1687,11
1547,1691,11
1548,1694,11
1549,1696,11
1550,1697,11
1551,1697,11
1552,1697,11
1553,1695,11
1554,1694,11
1555,1693,11
1556,1693,11
1557,1693,11
1558,1694,11
1559,1695,11
1560,1695,11
1561,1695,11
1562,1695,11
1563,1694,11
1564,1693,11
1565,1693,11
1566,1693,11
1567,1693,11
1568,1695,11
1569,1697,11
1570,1699,11
1571,1701,11
1572,1703,11
1573,1705,11
1574,1705,11
1575,1706,11
1576,1706,11
1577,1706,11
1578,1706,11
1579,1706,11
1580,1706,11
1581,1705,11
1582,1704,11
1583,1704,11
1584,1704,11
1585,1705,11
1586,1706,11
1587,1708,12
1588,1710,12
1589,1712,12
1590,1713,12
1591,1714,11
1592,1714,12
1593,1713,11
1594,1712,11
1595,1711,11
1596,1711,11
1597,1710,11
1598,1711,11
1599,1712,12
1600,1714,12
1601,1717,12
1602,1720,12
1603,1722,12
1604,1725,12
1605,1726,12
1606,1727,11
1607,1727,11
1608,1728,11
1609,1728,11
1610,1729,11
1611,1731,11
1612,1734,11
1613,1736,12
1614,1738,12
1615,1740,12
1616,1741,12
1617,1741,12
1618,1742,12
1619,1742,12
1620,1743,12
1621,1745,12
1622,1748,12
1623,1752,12
1624,1755,12
1625,1759,11
1626,1762,11
1627,1764,11
1628,1766,11
1629,1766,11
1630,1767,11
1631,1767,11
1632,1768,11
1633,1770,11
1634,1771,11
1635,1772,11
1636,1773,11
1637,1774,11
1638,1774,12
1639,1775,12
1640,1775,12
1641,1775,12
1642,1776,12
1643,1778,12
1644,1780,12
1645,1782,12
1646,1783,12
1647,1785,12
1648,1785,12
1649,1785,12
1650,1784,12
1651,1782,12
1652,1780,12
1653,1778,12
1654,1776,12
1655,1775,12
1656,1773,12
1657,1772,12
1658,1770,12
1659,1769,12
1660,1767,13
1661,1766,13
1662,1764,13
1663,1762,13
1664,1760,13
1665,1758,13
1666,1756,13
1667,1753,13
1668,1750,14
1669,1747,14
1670,1743,14
1671,1739,14
1672,1735,14
1673,1731,14
1674,1727,13
1675,1722,13
1676,1719,13
1677,1715,13
1678,1712,13
1679,1710,13
1680,1708,13
1681,1707,13
1682,1707,13
1683,1708,13
1684,1710,13
1685,1713,13
1686,1716,13
1687,1721,13
1688,1725,12
1689,1730,12
1690,1735,12
1691,1740,13
1692,1745,13
1693,1750,13
1694,1754,13
1695,1759,13
1696,1762,13
1697,1766,13
1698,1769,12
1699,1772,12
1700,1775,12
1701,1777,12
1702,1780,12
1703,1783,12
1704,1785,13
1705,1788,13
1706,1791,13
1707,1794,13
1708,1797,13
1709,1800,13
1710,1804,13
1711,1807,13
1712,1811,13
1713,1814,13
1714,1818,13
1715,1821,13
1716,1824,13
1717,1827,14
1718,1829,14
1719,1831,14
1720,1833,14
1721,1834,14
1722,1835,14
1723,1835,14
1724,1835,13
1725,1836,14
1726,1836,14
1727,1836,14
1728,1836,14
1729,1836,15
1730,1837,15
1731,1838,15
1732,1839,15
1733,1841,15
1734,1843,15
1735,1845,14
1736,1847,14
1737,1850,14
1738,1853,14
1739,1856,14
1740,1859,14
1741,1862,14
1742,1865,14
1743,1868,15
1744,1870,14
1745,1873,14
1746,1875,14
1747,1878,14
1748,1880,14
1749,1881,15
1750,1883,15
1751,1884,15
1752,1885,15
1753,1885,15
1754,1885,15
1755,1885,15
1756,1885,14
1757,1884,14
1758,1883,15
1759,1882,15
1760,1882,14
1761,1881,14
1762,1880,14
1763,1879,14
1764,1878,14
1765,1877,14
1766,1877,14
1767,1876,14
1768,1876,14
1769,1876,14
1770,1876,14
1771,1876,14
1772,1876,14
1773,1876,14
1774,1876,14
1775,1876,14
1776,1876,14
1777,1876,14
1778,1876,14
1779,1876,14
1780,1877,14
1781,1877,14
1782,1878,14
1783,1878,14
1784,1879,14
1785,1880,14
1786,1880,14
1787,1880,14
1788,1881,14
1789,1881,14
1790,1881,14
1791,1881,14
1792,1882,14
1793,1883,14
1794,1884,14
1795,1884,14
1796,1885,14
1797,1886,14
1798,1887,14
1799,1887,14
1800,1887,14
1801,1887,14
1802,1887,14
1803,1887,14
1804,1886,14
1805,1886,14
1806,1885,14
1807,1884,14
1808,1883,14
1809,1882,14
1810,1882,14
1811,1881,14
1812,1880,14
1813,1879,13
1814,1878,13
1815,1878,13
1816,1878,13
1817,1879,13
1818,1880,13
1819,1882,13
1820,1884,13
1821,1886,13
1822,1889,13
1823,1893,13
1824,1897,13
1825,1902,13
1826,1906,13
1827,1911,13
1828,1915,14
1829,1920,14
1830,1923,14
1831,1926,14
1832,1929,14
1833,1931,14
1834,1933,14
1835,1935,15
1836,1936,14
1837,1938,14
1838,1939,14
1839,1940,14
1840,1942,14
1841,1943,15
1842,1945,14
1843,1947,14
1844,1948,14
1845,1950,14
1846,1950,14
1847,1951,14
1848,1950,14
1849,1949,14
1850,1947,14
1851,1945,14
1852,1942,14
1853,1939,14
1854,1935,14
1855,1932,14
1856,1929,14
1857,1926,14
1858,1923,14
1859,1921,14
1860,1921,14
1861,1921,14
1862,1922,14
1863,1924,14
1864,1926,14
1865,1929,14
1866,1933,14
1867,1936,14
1868,1939,14
1869,1942,14
1870,1945,14
1871,1947,14
1872,1949,14
1873,1951,14
1874,1951,14
1875,1952,14
1876,1952,14
1877,1952,14
1878,1952,14
1879,1953,14
1880,1953,14
1881,1954,14
1882,1955,14
1883,1957,14
1884,1958,14
1885,1960,14
1886,1962,14
1887,1964,14
1888,1966,14
1889,1968,14
1890,1971,14
1891,1973,14
1892,1975,14
1893,1977,14
1894,1979,14
1895,1981,14
1896,1982,14
1897,1982,14
1898,1982,14
1899,1982,14
1900,1981,14
1901,1980,14
1902,1979,14
1903,1978,14
1904,1976,14
1905,1975,14
1906,1974,14
1907,1973,14
1908,1972,14
1909,1971,14
1910,1970,14
1911,1969,15
1912,1969,15
1913,1968,15
1914,1968,14
1915,1967,14
1916,1968,14
1917,1968,14
1918,1968,14
1919,1969,15
1920,1971,15
1921,1972,15
1922,1974,15
1923,1977,14
1924,1979,14
1925,1982,14
1926,1985,14
1927,1987,14
1928,1990,14
1929,1992,15
1930,1995,15
1931,1996,14
1932,1998,14
1933,1999,14
1934,2000,14
1935,2000,14
1936,2001,14
1937,2002,14
1938,2002,14
1939,2003,14
1940,2004,14
1941,2006,14
1942,2007,14
1943,2009,14
1944,2012,14
1945,2015,14
1946,2018,14
1947,2022,14
1948,2026,14
1949,2030,14
1950,2033,14
1951,2036,14
1952,2038,14
1953,2039,14
1954,2040,14
1955,2039,14
1956,2038,14
1957,2036,14
1958,2034,14
1959,2031,14
1960,2027,14
1961,2023,14
1962,2020,14
1963,2016,14
1964,2013,14
1965,2011,14
1966,2009,14
1967,2008,14
1968,2008,15
1969,2008,15
1970,2008,15
1971,2008,15
1972,2008,14
1973,2009,14
1974,2009,14
1975,2010,14
1976,2010,14
1977,2010,14
1978,2010,14
1979,2010,14
1980,2010,13
1981,2010,14
1982,2011,13
1983,2013,13
1984,2015,13
1985,2017,13
